CustomerID,Customer ID,Customer Market,Customer Region,Customer Country
1,7840,LATAM,Central America,Mexico
2,1203,LATAM,South America,Brazil
3,10866,LATAM,Central America,Mexico
4,3576,Europe,Northern Europe,Denmark
5,2447,Europe,Western Europe,Netherlands
6,12088,Europe,Western Europe,Germany
7,10471,Pacific Asia,Eastern Asia,China
8,1588,Pacific Asia,Southeast Asia,Indonesia
9,9607,Pacific Asia,South Asia,Pakistan
10,1577,Pacific Asia,Eastern Asia,China
11,2848,Pacific Asia,South Asia,India
12,8986,Pacific Asia,Eastern Asia,China
13,10308,Pacific Asia,South Asia,India
14,10380,Pacific Asia,Eastern Asia,China
15,1282,North America,US Center,USA
16,3918,North America,West of USA,USA
17,916,North America,East of USA,USA
18,7840,North America,South of  USA,USA
19,752,North America,East of USA,USA
20,6025,North America,East of USA,USA
21,2496,Europe,Eastern Europe,Hungary
22,3740,Africa,North Africa,Sudan
23,7860,Africa,Central Africa,Democratic Republic of Congo
24,7360,Europe,Eastern Europe,Poland
25,8378,Africa,West Africa,Togo
26,10401,LATAM,Central America,Guatemala
27,4633,LATAM,Central America,Panama
28,667,LATAM,South America,Chile
29,7862,LATAM,South America,Brazil
30,5165,LATAM,Central America,Mexico
31,6790,Europe,Western Europe,France
32,10046,Europe,Northern Europe,Sweden
33,75,Europe,Western Europe,Netherlands
34,5841,Europe,Western Europe,France
35,1399,Europe,Western Europe,Germany
36,7904,Europe,Western Europe,France
37,5605,LATAM,Caribbean,Dominican Republic
38,7223,LATAM,South America,Venezuela
39,509,Pacific Asia,Eastern Asia,South Korea
40,1011,Europe,Western Europe,France
41,4562,LATAM,Central America,Mexico
42,12024,LATAM,South America,Brazil
43,3953,Europe,Western Europe,Germany
44,5389,Pacific Asia,South Asia,India
45,1011,North America,West of USA,USA
46,10802,Africa,East Africa,Madagascar
47,2083,Pacific Asia,South Asia,Iran
48,2929,LATAM,Caribbean,Cuba
49,896,LATAM,Central America,Mexico
50,10401,LATAM,Central America,Nicaragua
51,94,Europe,Northern Europe,United Kingdom
52,10041,LATAM,Central America,Nicaragua
53,3211,LATAM,South America,Brazil
54,8861,LATAM,Central America,Mexico
55,2914,Europe,Western Europe,Germany
56,3765,Pacific Asia,South Asia,Afghanistan
57,9992,Pacific Asia,Southeast Asia,Singapore
58,2546,Pacific Asia,Southeast Asia,Indonesia
59,10677,Africa,North Africa,Morocco
60,925,LATAM,Central America,Mexico
61,2848,LATAM,Central America,Mexico
62,3827,Europe,Northern Europe,United Kingdom
63,2896,Europe,Southern Europe,Spain
64,10620,Europe,Northern Europe,United Kingdom
65,5542,LATAM,Central America,Mexico
66,5994,LATAM,Central America,Nicaragua
67,10653,Europe,Western Europe,Netherlands
68,2447,Europe,Western Europe,Germany
69,4560,Pacific Asia,South Asia,India
70,10620,North America,South of  USA,USA
71,6840,Africa,West Africa,Niger
72,4511,Pacific Asia,West Asia,Turkey
73,344,Africa,Southern Africa,South Africa
74,5477,Pacific Asia,West Asia,Iraq
75,2793,LATAM,Central America,Mexico
76,8917,LATAM,Central America,Honduras
77,8323,Europe,Western Europe,Germany
78,9116,Europe,Southern Europe,Italy
79,8546,Pacific Asia,Oceania,Australia
80,9876,North America,West of USA,USA
81,6421,North America,East of USA,USA
82,10391,North America,East of USA,USA
83,6282,Africa,West Africa,Cote d'Ivoire
84,10785,LATAM,Caribbean,Dominican Republic
85,8711,LATAM,South America,Venezuela
86,6883,Europe,Western Europe,France
87,1459,Europe,Southern Europe,Italy
88,9876,LATAM,Central America,Mexico
89,6080,LATAM,Central America,Nicaragua
90,9992,LATAM,Central America,Mexico
91,6539,LATAM,Central America,Honduras
92,10996,LATAM,Central America,Guatemala
93,5513,Europe,Northern Europe,United Kingdom
94,4562,Europe,Western Europe,Germany
95,3740,Pacific Asia,South Asia,Pakistan
96,5053,Pacific Asia,Eastern Asia,China
97,94,North America,US Center,USA
98,7101,North America,South of  USA,USA
99,11612,North America,East of USA,USA
100,8810,North America,South of  USA,USA
101,8511,North America,West of USA,USA
102,1883,Europe,Southern Europe,Croatia
103,11118,LATAM,South America,Brazil
104,4138,LATAM,South America,Ecuador
105,5841,LATAM,South America,Ecuador
106,10517,LATAM,Central America,Mexico
107,3284,Europe,Northern Europe,Sweden
108,1495,Pacific Asia,Oceania,Australia
109,8617,North America,West of USA,USA
110,7784,Pacific Asia,West Asia,Syria
111,1577,LATAM,South America,Brazil
112,105,LATAM,Caribbean,Haiti
113,75,LATAM,Central America,Mexico
114,10721,LATAM,Central America,Mexico
115,11612,Pacific Asia,Eastern Asia,China
116,4987,Pacific Asia,South Asia,Bangladesh
117,11610,North America,US Center,USA
118,6016,Pacific Asia,West Asia,Turkey
119,4348,LATAM,Central America,Panama
120,7555,Europe,Western Europe,Netherlands
121,2447,Europe,Southern Europe,Spain
122,2900,Europe,Western Europe,Germany
123,6523,LATAM,South America,Argentina
124,2848,Europe,Northern Europe,United Kingdom
125,7555,Europe,Northern Europe,United Kingdom
126,4105,North America,US Center,USA
127,6887,Europe,Eastern Europe,Romania
128,6699,Pacific Asia,South Asia,Iran
129,9876,Africa,Southern Africa,South Africa
130,10447,Pacific Asia,West Asia,Turkey
131,390,LATAM,Central America,Panama
132,4056,LATAM,South America,Brazil
133,11557,LATAM,South America,Brazil
134,9114,Europe,Southern Europe,Spain
135,5118,LATAM,Caribbean,Cuba
136,12425,LATAM,Caribbean,Dominican Republic
137,5120,LATAM,Caribbean,Dominican Republic
138,4428,LATAM,Central America,El Salvador
139,4560,LATAM,Central America,Honduras
140,9941,Europe,Southern Europe,Italy
141,10721,Europe,Northern Europe,United Kingdom
142,11635,Europe,Western Europe,France
143,9451,Europe,Southern Europe,Italy
144,1123,Europe,Southern Europe,Spain
145,2607,Pacific Asia,South Asia,India
146,2400,Pacific Asia,Oceania,Australia
147,4315,Pacific Asia,Southeast Asia,Vietnam
148,10153,Pacific Asia,Southeast Asia,Indonesia
149,8550,Pacific Asia,Eastern Asia,Japan
150,11637,North America,West of USA,USA
151,7774,North America,West of USA,USA
152,7655,Africa,Central Africa,Democratic Republic of Congo
153,5562,Pacific Asia,West Asia,Turkey
154,1387,Pacific Asia,West Asia,Turkey
155,4831,Africa,West Africa,Nigeria
156,348,Europe,Eastern Europe,Belarus
157,8565,Africa,West Africa,Nigeria
158,10624,LATAM,Central America,Panama
159,7328,Europe,Northern Europe,United Kingdom
160,7330,LATAM,Central America,El Salvador
161,577,LATAM,Central America,Guatemala
162,11662,LATAM,Caribbean,Cuba
163,316,North America,West of USA,USA
164,637,North America,West of USA,USA
165,11266,Pacific Asia,Central Asia,Uzbekistan
166,6265,Africa,North Africa,Egypt
167,5264,Africa,West Africa,Nigeria
168,8172,Europe,Western Europe,France
169,5513,Europe,Western Europe,France
170,8584,LATAM,Caribbean,Dominican Republic
171,6428,Europe,Western Europe,France
172,8193,Pacific Asia,Oceania,Australia
173,4958,Europe,Eastern Europe,Romania
174,5264,Europe,Southern Europe,Albania
175,8548,LATAM,Central America,Mexico
176,6159,LATAM,Caribbean,Dominican Republic
177,8910,LATAM,Caribbean,Cuba
178,5542,Europe,Western Europe,Germany
179,1516,Europe,Western Europe,France
180,4056,North America,US Center,USA
181,3561,Pacific Asia,West Asia,Georgia
182,2270,Africa,Central Africa,Cameroon
183,5498,LATAM,South America,Brazil
184,1399,LATAM,South America,Chile
185,6020,LATAM,South America,Colombia
186,8666,LATAM,Central America,Mexico
187,1371,LATAM,Caribbean,Dominican Republic
188,3209,Europe,Western Europe,France
189,6428,Europe,Northern Europe,United Kingdom
190,3520,Europe,Western Europe,Netherlands
191,7136,Europe,Western Europe,Netherlands
192,6781,Pacific Asia,Oceania,Australia
193,644,Pacific Asia,South Asia,India
194,1883,North America,West of USA,USA
195,344,North America,West of USA,USA
196,10046,LATAM,Central America,Mexico
197,7655,LATAM,Central America,El Salvador
198,9072,Europe,Western Europe,France
199,3520,LATAM,Central America,Mexico
200,5019,LATAM,South America,Chile
201,942,LATAM,Central America,Nicaragua
202,10866,Europe,Western Europe,France
203,24,Europe,Western Europe,Netherlands
204,1373,Pacific Asia,Oceania,Australia
205,2588,Pacific Asia,Oceania,New zealand
206,1216,North America,US Center,USA
207,8805,North America,East of USA,USA
208,6067,LATAM,Central America,Panama
209,6212,LATAM,Caribbean,Cuba
210,1262,Europe,Western Europe,France
211,4472,Europe,Western Europe,Germany
212,2737,LATAM,South America,Brazil
213,4080,LATAM,South America,Brazil
214,7601,Europe,Western Europe,France
215,3453,Pacific Asia,Eastern Asia,China
216,1785,Pacific Asia,Eastern Asia,China
217,4833,Pacific Asia,South Asia,India
218,2896,North America,US Center,USA
219,2609,Europe,Eastern Europe,Poland
220,390,LATAM,Central America,Guatemala
221,3940,Europe,Western Europe,France
222,4204,LATAM,Central America,Honduras
223,3627,LATAM,South America,Brazil
224,1459,Europe,Western Europe,France
225,10658,North America,Canada,Canada
226,2415,LATAM,Central America,Mexico
227,5212,Europe,Western Europe,Germany
228,5264,Europe,Southern Europe,Italy
229,8861,Pacific Asia,Eastern Asia,China
230,1477,North America,West of USA,USA
231,3983,LATAM,South America,Argentina
232,1510,Europe,Western Europe,France
233,1312,North America,West of USA,USA
234,5264,Europe,Eastern Europe,Belarus
235,8625,LATAM,South America,Brazil
236,9283,LATAM,Central America,Mexico
237,330,LATAM,South America,Brazil
238,9125,LATAM,Caribbean,Haiti
239,1373,LATAM,South America,Brazil
240,689,LATAM,Central America,Mexico
241,10677,Pacific Asia,South Asia,India
242,4406,Pacific Asia,Southeast Asia,Thailand
243,10447,Europe,Eastern Europe,Poland
244,1577,Africa,West Africa,Senegal
245,2521,LATAM,Central America,Honduras
246,8378,LATAM,Central America,Mexico
247,2341,LATAM,Central America,Honduras
248,10986,Europe,Western Europe,Germany
249,2715,Europe,Northern Europe,United Kingdom
250,10646,Europe,Eastern Europe,Russia
251,752,LATAM,Central America,Mexico
252,2609,LATAM,Central America,Mexico
253,6667,LATAM,South America,Peru
254,698,LATAM,Central America,Mexico
255,10517,Pacific Asia,Eastern Asia,China
256,8059,Pacific Asia,Southeast Asia,Singapore
257,8617,North America,East of USA,USA
258,8546,Africa,North Africa,Algeria
259,11307,LATAM,Central America,Mexico
260,5633,LATAM,Central America,Honduras
261,3918,LATAM,Central America,Mexico
262,635,LATAM,Central America,Panama
263,3625,Europe,Northern Europe,United Kingdom
264,10824,Europe,Southern Europe,Italy
265,3530,LATAM,Central America,Honduras
266,698,Europe,Western Europe,France
267,1588,Europe,Northern Europe,United Kingdom
268,8370,Pacific Asia,Oceania,Australia
269,1493,North America,West of USA,USA
270,7325,North America,US Center,USA
271,135,North America,West of USA,USA
272,11866,LATAM,South America,Brazil
273,7862,LATAM,Central America,Mexico
274,7555,LATAM,Central America,Mexico
275,9070,Europe,Northern Europe,United Kingdom
276,4726,Europe,Western Europe,France
277,7550,Pacific Asia,South Asia,India
278,3217,Pacific Asia,South Asia,India
279,1577,North America,US Center,USA
280,2609,Pacific Asia,West Asia,Turkey
281,335,Europe,Eastern Europe,Ukraine
282,3435,North America,Canada,Canada
283,5844,Europe,Western Europe,Germany
284,10824,LATAM,South America,Colombia
285,7369,LATAM,Central America,Mexico
286,5376,LATAM,South America,Brazil
