ShipmentID,Shipment date,Shipment Year,Shipment Month,Shipment Day,Shipment Mode,Shipment Days - Scheduled,Delay Shipment
1,2015-02-27,2015,2,27,Standard Class,4,Late
2,2015-03-06,2015,3,6,Standard Class,4,On time
3,2015-04-20,2015,4,20,Standard Class,4,On time
4,2015-06-12,2015,6,12,Standard Class,4,On time
5,2015-10-13,2015,10,13,Standard Class,4,On time
6,2015-10-15,2015,10,15,Standard Class,4,On time
7,2015-11-12,2015,11,12,Standard Class,4,Late
8,2015-11-17,2015,11,17,Standard Class,4,On time
9,2015-11-18,2015,11,18,Standard Class,4,On time
10,2015-12-15,2015,12,15,Standard Class,4,On time
11,2016-01-07,2016,1,7,Standard Class,4,On time
12,2016-02-06,2016,2,6,Standard Class,4,On time
13,2016-02-11,2016,2,11,Standard Class,4,On time
14,2016-03-15,2016,3,15,Standard Class,4,Late
15,2016-05-10,2016,5,10,Standard Class,4,On time
16,2016-06-07,2016,6,7,Standard Class,4,On time
17,2016-07-05,2016,7,5,Standard Class,4,Late
18,2016-07-06,2016,7,6,Standard Class,4,On time
19,2016-08-08,2016,8,8,Standard Class,4,On time
20,2016-08-30,2016,8,30,Standard Class,4,Late
21,2016-09-25,2016,9,25,Standard Class,4,On time
22,2016-10-02,2016,10,2,Standard Class,4,On time
23,2016-12-26,2016,12,26,Standard Class,4,Late
24,2016-12-22,2016,12,22,Standard Class,4,On time
25,2016-12-28,2016,12,28,Standard Class,4,On time
26,2017-02-23,2017,2,23,Standard Class,4,On time
27,2017-03-30,2017,3,30,Standard Class,4,On time
28,2017-05-14,2017,5,14,Standard Class,4,On time
29,2017-05-18,2017,5,18,Standard Class,4,On time
30,2017-07-20,2017,7,20,Standard Class,4,On time
31,2017-07-23,2017,7,23,Standard Class,4,Late
32,2017-07-19,2017,7,19,Standard Class,4,On time
33,2017-07-24,2017,7,24,Standard Class,4,On time
34,2017-09-21,2017,9,21,Standard Class,4,On time
35,2015-04-13,2015,4,13,Same Day,3,On time
36,2015-05-04,2015,5,4,Same Day,3,Late
37,2015-06-17,2015,6,17,Second Class,2,Late
38,2015-10-29,2015,10,29,Second Class,2,On time
39,2017-07-06,2017,7,6,Same Day,3,Late
40,2017-08-24,2017,8,24,First Class,1,Late
41,2015-03-05,2015,3,5,First Class,1,On time
42,2015-08-12,2015,8,12,First Class,1,Late
43,2015-11-01,2015,11,1,First Class,1,Late
44,2016-01-25,2016,1,25,Second Class,2,On time
45,2016-01-29,2016,1,29,Second Class,2,On time
46,2016-02-02,2016,2,2,Second Class,2,Late
47,2016-07-10,2016,7,10,First Class,1,Late
48,2016-07-31,2016,7,31,Second Class,2,On time
49,2016-10-20,2016,10,20,First Class,1,Late
50,2016-11-10,2016,11,10,First Class,1,Late
51,2016-12-26,2016,12,26,Second Class,2,On time
52,2017-01-30,2017,1,30,First Class,1,Late
53,2017-06-17,2017,6,17,Second Class,2,Late
54,2017-08-01,2017,8,1,Second Class,2,On time
55,2015-02-02,2015,2,2,Second Class,2,Late
56,2015-02-10,2015,2,10,First Class,1,Late
57,2015-02-14,2015,2,14,First Class,1,Late
58,2015-02-18,2015,2,18,First Class,1,Late
59,2015-04-16,2015,4,16,Same Day,3,Late
60,2015-04-23,2015,4,23,Second Class,2,On time
61,2015-04-30,2015,4,30,Same Day,3,Late
62,2015-06-12,2015,6,12,Second Class,2,Late
63,2015-10-25,2015,10,25,First Class,1,Late
64,2015-11-29,2015,11,29,Second Class,2,On time
65,2015-12-07,2015,12,7,Second Class,2,On time
66,2016-01-18,2016,1,18,First Class,1,Late
67,2016-02-22,2016,2,22,Second Class,2,Late
68,2016-02-26,2016,2,26,Second Class,2,Late
69,2016-03-12,2016,3,12,First Class,1,Late
70,2016-03-27,2016,3,27,Second Class,2,Late
71,2016-03-31,2016,3,31,Standard Class,4,Late
72,2016-04-04,2016,4,4,Standard Class,4,On time
73,2016-07-17,2016,7,17,Standard Class,4,Late
74,2016-08-15,2016,8,15,Standard Class,4,Late
75,2016-10-19,2016,10,19,Standard Class,4,On time
76,2016-12-30,2016,12,30,Standard Class,4,Late
77,2017-02-19,2017,2,19,Standard Class,4,On time
78,2017-04-05,2017,4,5,Standard Class,4,On time
79,2017-04-15,2017,4,15,Standard Class,4,On time
80,2017-04-17,2017,4,17,Standard Class,4,Late
81,2017-06-15,2017,6,15,Standard Class,4,On time
82,2017-08-18,2017,8,18,Standard Class,4,Late
83,2017-09-13,2017,9,13,Standard Class,4,On time
84,2015-04-25,2015,4,25,Second Class,2,On time
85,2015-09-14,2015,9,14,Same Day,3,On time
86,2015-09-19,2015,9,19,Same Day,3,On time
87,2015-10-05,2015,10,5,Second Class,2,On time
88,2015-12-21,2015,12,21,Second Class,2,Late
89,2016-01-17,2016,1,17,Second Class,2,On time
90,2016-02-20,2016,2,20,Same Day,3,On time
91,2016-05-10,2016,5,10,Same Day,3,On time
92,2016-06-08,2016,6,8,Second Class,2,Late
93,2016-10-20,2016,10,20,Second Class,2,On time
94,2016-11-26,2016,11,26,Same Day,3,Late
95,2016-11-30,2016,11,30,Second Class,2,On time
96,2016-12-09,2016,12,9,Second Class,2,On time
97,2017-03-14,2017,3,14,First Class,1,Late
98,2017-03-26,2017,3,26,First Class,1,Late
99,2017-04-11,2017,4,11,First Class,1,Late
100,2017-04-18,2017,4,18,Second Class,2,On time
101,2017-05-27,2017,5,27,First Class,1,Late
102,2017-08-03,2017,8,3,Second Class,2,On time
103,2015-08-26,2015,8,26,First Class,1,Late
104,2015-08-28,2015,8,28,First Class,1,Late
105,2015-11-14,2015,11,14,Second Class,2,Late
106,2016-04-27,2016,4,27,First Class,1,Late
107,2016-05-06,2016,5,6,First Class,1,Late
108,2016-05-24,2016,5,24,First Class,1,Late
109,2016-10-03,2016,10,3,First Class,1,On time
110,2017-02-20,2017,2,20,First Class,1,On time
111,2015-01-04,2015,1,4,Standard Class,4,On time
112,2015-01-09,2015,1,9,Standard Class,4,Late
113,2015-02-02,2015,2,2,Standard Class,4,On time
114,2015-03-31,2015,3,31,Standard Class,4,On time
115,2015-04-06,2015,4,6,Standard Class,4,Late
116,2015-05-07,2015,5,7,Standard Class,4,Late
117,2015-05-18,2015,5,18,Standard Class,4,Late
118,2015-06-10,2015,6,10,Standard Class,4,On time
119,2015-07-21,2015,7,21,Standard Class,4,On time
120,2015-09-08,2015,9,8,Standard Class,4,Late
121,2015-09-11,2015,9,11,Standard Class,4,On time
122,2015-12-03,2015,12,3,Standard Class,4,On time
123,2015-12-31,2015,12,31,Standard Class,4,Late
124,2016-02-25,2016,2,25,Standard Class,4,Late
125,2016-04-19,2016,4,19,Standard Class,4,Late
126,2016-05-04,2016,5,4,Standard Class,4,Late
127,2016-05-13,2016,5,13,Standard Class,4,Late
128,2016-05-18,2016,5,18,Standard Class,4,On time
129,2016-06-23,2016,6,23,Standard Class,4,On time
130,2016-09-18,2016,9,18,Standard Class,4,On time
131,2016-09-16,2016,9,16,Standard Class,4,On time
132,2016-09-24,2016,9,24,Standard Class,4,Late
133,2017-01-31,2017,1,31,Standard Class,4,Late
134,2017-03-29,2017,3,29,Standard Class,4,On time
135,2017-04-20,2017,4,20,Standard Class,4,Late
136,2017-05-20,2017,5,20,Standard Class,4,Late
137,2017-06-17,2017,6,17,Standard Class,4,On time
138,2017-08-03,2017,8,3,Standard Class,4,On time
139,2017-08-05,2017,8,5,Standard Class,4,On time
140,2017-09-03,2017,9,3,Standard Class,4,Late
141,2015-01-10,2015,1,10,Standard Class,4,On time
142,2015-04-11,2015,4,11,Standard Class,4,On time
143,2015-04-17,2015,4,17,Standard Class,4,Late
144,2015-04-23,2015,4,23,Standard Class,4,On time
145,2015-06-23,2015,6,23,Standard Class,4,On time
146,2015-08-31,2015,8,31,Standard Class,4,On time
147,2015-09-19,2015,9,19,Standard Class,4,Late
148,2015-10-01,2015,10,1,Standard Class,4,Late
149,2015-12-02,2015,12,2,Standard Class,4,On time
150,2016-01-09,2016,1,9,Standard Class,4,On time
151,2016-03-01,2016,3,1,Standard Class,4,On time
152,2016-09-11,2016,9,11,Standard Class,4,On time
153,2017-02-01,2017,2,1,Standard Class,4,On time
154,2017-02-06,2017,2,6,Standard Class,4,On time
155,2017-02-18,2017,2,18,Standard Class,4,On time
156,2017-05-28,2017,5,28,Standard Class,4,Late
157,2017-06-06,2017,6,6,Standard Class,4,On time
158,2017-09-28,2017,9,28,Standard Class,4,Late
159,2015-01-27,2015,1,27,Standard Class,4,On time
160,2015-04-03,2015,4,3,Standard Class,4,On time
161,2015-04-10,2015,4,10,Standard Class,4,Late
162,2015-05-11,2015,5,11,Standard Class,4,On time
163,2015-06-24,2015,6,24,Standard Class,4,On time
164,2015-06-26,2015,6,26,Standard Class,4,On time
165,2015-07-07,2015,7,7,Standard Class,4,Late
166,2015-07-13,2015,7,13,Standard Class,4,Late
167,2015-08-30,2015,8,30,Standard Class,4,On time
168,2015-10-10,2015,10,10,Standard Class,4,Late
169,2016-02-09,2016,2,9,Standard Class,4,On time
170,2016-02-16,2016,2,16,Standard Class,4,On time
171,2016-09-29,2016,9,29,Standard Class,4,On time
172,2016-12-10,2016,12,10,Standard Class,4,On time
173,2016-12-17,2016,12,17,Standard Class,4,On time
174,2017-01-19,2017,1,19,Standard Class,4,On time
175,2017-02-08,2017,2,8,Standard Class,4,On time
176,2017-02-25,2017,2,25,Standard Class,4,Late
177,2017-09-06,2017,9,6,Standard Class,4,On time
178,2017-09-29,2017,9,29,Standard Class,4,Late
179,2015-01-15,2015,1,15,Second Class,2,On time
180,2015-02-23,2015,2,23,Second Class,2,Late
181,2015-03-03,2015,3,3,Second Class,2,Late
182,2015-09-22,2015,9,22,Second Class,2,Late
183,2015-09-19,2015,9,19,Second Class,2,On time
184,2016-06-01,2016,6,1,Second Class,2,On time
185,2016-06-16,2016,6,16,Second Class,2,On time
186,2016-09-23,2016,9,23,Second Class,2,Late
187,2016-11-26,2016,11,26,First Class,1,Late
188,2017-04-13,2017,4,13,First Class,1,Late
189,2017-07-09,2017,7,9,Same Day,3,On time
190,2017-09-05,2017,9,5,First Class,1,Late
191,2017-09-13,2017,9,13,Same Day,3,Late
192,2015-03-12,2015,3,12,First Class,1,On time
193,2015-06-10,2015,6,10,First Class,1,Late
194,2016-05-28,2016,5,28,First Class,1,Late
195,2017-07-15,2017,7,15,Same Day,3,On time
196,2015-03-16,2015,3,16,First Class,1,Late
197,2015-10-14,2015,10,14,Same Day,3,On time
198,2016-07-03,2016,7,3,Same Day,3,On time
199,2016-09-08,2016,9,8,Second Class,2,Late
200,2016-10-01,2016,10,1,Second Class,2,On time
201,2016-11-27,2016,11,27,First Class,1,Late
202,2017-03-25,2017,3,25,Second Class,2,On time
203,2017-06-15,2017,6,15,Second Class,2,On time
204,2017-07-12,2017,7,12,Second Class,2,Late
205,2017-08-22,2017,8,22,First Class,1,Late
206,2015-01-09,2015,1,9,Standard Class,4,On time
207,2015-02-08,2015,2,8,Standard Class,4,On time
208,2015-03-16,2015,3,16,Standard Class,4,On time
209,2015-07-19,2015,7,19,Standard Class,4,Late
210,2015-08-14,2015,8,14,Standard Class,4,On time
211,2015-08-26,2015,8,26,Standard Class,4,Late
212,2015-09-17,2015,9,17,Standard Class,4,On time
213,2015-10-16,2015,10,16,Standard Class,4,Late
214,2016-02-01,2016,2,1,Standard Class,4,On time
215,2016-02-14,2016,2,14,Standard Class,4,On time
216,2016-04-08,2016,4,8,Standard Class,4,On time
217,2016-07-30,2016,7,30,Standard Class,4,On time
218,2016-09-02,2016,9,2,Standard Class,4,On time
219,2016-12-02,2016,12,2,Standard Class,4,Late
220,2017-01-25,2017,1,25,Standard Class,4,On time
221,2017-03-23,2017,3,23,Standard Class,4,On time
222,2017-04-27,2017,4,27,Standard Class,4,On time
223,2017-05-26,2017,5,26,Standard Class,4,Late
224,2017-07-15,2017,7,15,Standard Class,4,Late
225,2015-02-12,2015,2,12,Second Class,2,On time
226,2015-03-05,2015,3,5,Same Day,3,On time
227,2015-04-10,2015,4,10,Second Class,2,Late
228,2015-04-29,2015,4,29,Second Class,2,Late
229,2015-05-01,2015,5,1,Second Class,2,Late
230,2015-07-23,2015,7,23,Second Class,2,Late
231,2015-09-12,2015,9,12,First Class,1,Late
232,2015-12-18,2015,12,18,Second Class,2,Late
233,2016-04-04,2016,4,4,Second Class,2,Late
234,2016-05-05,2016,5,5,Second Class,2,Late
235,2016-08-31,2016,8,31,Second Class,2,On time
236,2017-01-23,2017,1,23,Second Class,2,Late
237,2017-01-28,2017,1,28,Second Class,2,On time
238,2017-03-28,2017,3,28,First Class,1,Late
239,2017-07-14,2017,7,14,Same Day,3,On time
240,2017-08-23,2017,8,23,First Class,1,Late
241,2015-01-20,2015,1,20,Standard Class,4,On time
242,2015-02-02,2015,2,2,Standard Class,4,Late
243,2015-05-27,2015,5,27,Standard Class,4,Late
244,2015-08-22,2015,8,22,Standard Class,4,Late
245,2015-12-07,2015,12,7,Standard Class,4,On time
246,2016-01-13,2016,1,13,Standard Class,4,On time
247,2016-01-15,2016,1,15,Standard Class,4,On time
248,2016-05-14,2016,5,14,Standard Class,4,On time
249,2016-09-05,2016,9,5,Standard Class,4,Late
250,2017-01-30,2017,1,30,Standard Class,4,On time
251,2017-08-17,2017,8,17,Standard Class,4,On time
252,2015-01-20,2015,1,20,Second Class,2,On time
253,2015-02-14,2015,2,14,Second Class,2,On time
254,2015-03-17,2015,3,17,Second Class,2,On time
255,2015-03-23,2015,3,23,Second Class,2,On time
256,2015-07-19,2015,7,19,Second Class,2,On time
257,2016-02-21,2016,2,21,Second Class,2,On time
258,2016-02-25,2016,2,25,Second Class,2,On time
259,2016-06-19,2016,6,19,Second Class,2,On time
260,2016-06-22,2016,6,22,Second Class,2,On time
