Order ID,Order Quantity,Shipping Time,Shipment Mode,Shipment Days - Scheduled,Delay Shipment,Customer Region,Customer Country,Warehouse Country,Order date,Order Year,Order Month,Order Day
3535,1,6,Standard Class,4,Late,Central America,Mexico,Puerto Rico,2015-02-21 00:00:00,2015,2,21
4133,1,4,Standard Class,4,On time,South America,Brazil,Puerto Rico,2015-03-02 00:00:00,2015,3,2
7396,1,2,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2015-04-18 00:00:00,2015,4,18
11026,1,2,Standard Class,4,On time,Northern Europe,Denmark,Puerto Rico,2015-06-10 00:00:00,2015,6,10
11026,1,2,Standard Class,4,On time,Northern Europe,Denmark,Puerto Rico,2015-06-10 00:00:00,2015,6,10
11026,1,2,Standard Class,4,On time,Northern Europe,Denmark,Puerto Rico,2015-06-10 00:00:00,2015,6,10
19273,1,4,Standard Class,4,On time,Western Europe,Netherlands,Puerto Rico,2015-10-09 00:00:00,2015,10,9
19566,1,2,Standard Class,4,On time,Western Europe,Germany,Puerto Rico,2015-10-13 00:00:00,2015,10,13
21215,1,6,Standard Class,4,Late,Eastern Asia,China,Puerto Rico,2015-11-06 00:00:00,2015,11,6
21846,1,2,Standard Class,4,On time,Southeast Asia,Indonesia,Puerto Rico,2015-11-15 00:00:00,2015,11,15
21916,1,2,Standard Class,4,On time,South Asia,Pakistan,Puerto Rico,2015-11-16 00:00:00,2015,11,16
23578,1,4,Standard Class,4,On time,Eastern Asia,China,Puerto Rico,2015-12-11 00:00:00,2015,12,11
25301,1,2,Standard Class,4,On time,South Asia,India,Puerto Rico,2016-01-05 00:00:00,2016,1,5
27376,1,2,Standard Class,4,On time,Eastern Asia,China,Puerto Rico,2016-02-04 00:00:00,2016,2,4
27558,1,4,Standard Class,4,On time,South Asia,India,Puerto Rico,2016-02-07 00:00:00,2016,2,7
29685,1,6,Standard Class,4,Late,Eastern Asia,China,Puerto Rico,2016-03-09 00:00:00,2016,3,9
33816,1,2,Standard Class,4,On time,US Center,USA,Puerto Rico,2016-05-08 00:00:00,2016,5,8
33816,1,2,Standard Class,4,On time,US Center,USA,Puerto Rico,2016-05-08 00:00:00,2016,5,8
35603,1,4,Standard Class,4,On time,West of USA,USA,Puerto Rico,2016-06-03 00:00:00,2016,6,3
37395,1,6,Standard Class,4,Late,East of USA,USA,Puerto Rico,2016-06-29 00:00:00,2016,6,29
37395,1,6,Standard Class,4,Late,East of USA,USA,Puerto Rico,2016-06-29 00:00:00,2016,6,29
37553,1,4,Standard Class,4,On time,South of  USA,USA,Puerto Rico,2016-07-02 00:00:00,2016,7,2
39986,1,2,Standard Class,4,On time,East of USA,USA,Puerto Rico,2016-08-06 00:00:00,2016,8,6
39986,1,2,Standard Class,4,On time,East of USA,USA,Puerto Rico,2016-08-06 00:00:00,2016,8,6
41215,1,6,Standard Class,4,Late,East of USA,USA,Puerto Rico,2016-08-24 00:00:00,2016,8,24
43246,1,2,Standard Class,4,On time,Eastern Europe,Hungary,Puerto Rico,2016-09-23 00:00:00,2016,9,23
43598,1,4,Standard Class,4,On time,North Africa,Sudan,Puerto Rico,2016-09-28 00:00:00,2016,9,28
43598,1,4,Standard Class,4,On time,North Africa,Sudan,Puerto Rico,2016-09-28 00:00:00,2016,9,28
49275,1,6,Standard Class,4,Late,Central Africa,Democratic Republic of Congo,Puerto Rico,2016-12-20 00:00:00,2016,12,20
49291,1,2,Standard Class,4,On time,Eastern Europe,Poland,Puerto Rico,2016-12-20 00:00:00,2016,12,20
49558,1,4,Standard Class,4,On time,West Africa,Togo,Puerto Rico,2016-12-24 00:00:00,2016,12,24
53626,1,2,Standard Class,4,On time,Central America,Guatemala,Puerto Rico,2017-02-21 00:00:00,2017,2,21
55853,1,4,Standard Class,4,On time,Central America,Panama,Puerto Rico,2017-03-26 00:00:00,2017,3,26
59071,1,2,Standard Class,4,On time,South America,Chile,Puerto Rico,2017-05-12 00:00:00,2017,5,12
59336,1,2,Standard Class,4,On time,South America,Brazil,Puerto Rico,2017-05-16 00:00:00,2017,5,16
59346,1,2,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2017-05-16 00:00:00,2017,5,16
63558,1,4,Standard Class,4,On time,Western Europe,France,Puerto Rico,2017-07-16 00:00:00,2017,7,16
63558,1,4,Standard Class,4,On time,Western Europe,France,Puerto Rico,2017-07-16 00:00:00,2017,7,16
63575,1,6,Standard Class,4,Late,Northern Europe,Sweden,Puerto Rico,2017-07-17 00:00:00,2017,7,17
63601,1,2,Standard Class,4,On time,Western Europe,Netherlands,Puerto Rico,2017-07-17 00:00:00,2017,7,17
63921,1,2,Standard Class,4,On time,Western Europe,France,Puerto Rico,2017-07-22 00:00:00,2017,7,22
67823,1,4,Standard Class,4,On time,Western Europe,Germany,Puerto Rico,2017-09-17 00:00:00,2017,9,17
67833,1,4,Standard Class,4,On time,Western Europe,France,Puerto Rico,2017-09-17 00:00:00,2017,9,17
4305,1,0,Same Day,3,On time,Caribbean,Dominican Republic,Puerto Rico,2015-04-13 00:00:00,2015,4,13
4305,1,6,Same Day,3,Late,Caribbean,Dominican Republic,Puerto Rico,2015-04-28 00:00:00,2015,4,28
7725,1,4,Second Class,2,Late,South America,Venezuela,Puerto Rico,2015-06-13 00:00:00,2015,6,13
21968,1,2,Second Class,2,On time,Eastern Asia,South Korea,Puerto Rico,2015-10-27 00:00:00,2015,10,27
65258,1,4,Same Day,3,Late,Western Europe,France,Puerto Rico,2017-07-02 00:00:00,2017,7,2
