Order ID,CustomerID,ProductID,DateID,WarehouseID,ShipmentID,Shipping Time,Order Quantity,Gross Sales,Discount %,Profit
3535,1,1,1,1,1,6,1,400,0.25,200
4133,2,1,2,1,2,4,1,400,0.09,200
7396,3,1,3,1,3,2,1,400,0.06,200
11026,4,1,4,1,4,2,1,400,0.15,200
11026,4,1,4,1,4,2,1,400,0.13,200
11026,4,1,4,1,4,2,1,400,0.16,200
19273,5,1,5,1,5,4,1,400,0.06,200
19566,6,1,6,1,6,2,1,400,0.12,200
21215,7,1,7,1,7,6,1,400,0.04,200
21846,8,1,8,1,8,2,1,400,0.02,200
21916,9,1,9,1,9,2,1,400,0.04,200
23578,10,1,10,1,10,4,1,400,0.05,200
25301,11,1,11,1,11,2,1,400,0.05,200
27376,12,1,12,1,12,2,1,400,0.01,200
27558,13,1,13,1,13,4,1,400,0.12,200
29685,14,1,14,1,14,6,1,400,0.07,200
33816,15,1,15,1,15,2,1,400,0.06,200
33816,15,1,15,1,15,2,1,400,0.05,200
35603,16,1,16,1,16,4,1,400,0.18,200
37395,17,1,17,1,17,6,1,400,0.01,200
37395,17,1,17,1,17,6,1,400,0.02,200
37553,18,1,18,1,18,4,1,400,0.15,200
39986,19,1,19,1,19,2,1,400,0.13,200
39986,19,1,19,1,19,2,1,400,0.15,200
41215,20,1,20,1,20,6,1,400,0.1,200
43246,21,1,21,1,21,2,1,400,0.02,200
43598,22,1,22,1,22,4,1,400,0.15,200
43598,22,1,22,1,22,4,1,400,0.13,200
49275,23,1,23,1,23,6,1,400,0.07,200
49291,24,1,23,1,24,2,1,400,0.03,200
49558,25,1,24,1,25,4,1,400,0.04,200
53626,26,1,25,1,26,2,1,400,0.07,200
55853,27,1,26,1,27,4,1,400,0.18,200
59071,28,1,27,1,28,2,1,400,0.17,200
59336,29,1,28,1,29,2,1,400,0.07,200
59346,30,1,28,1,29,2,1,400,0.03,200
63558,31,1,29,1,30,4,1,400,0.06,200
63558,31,1,29,1,30,4,1,400,0.07,200
63575,32,1,30,1,31,6,1,400,0.03,200
63601,33,1,30,1,32,2,1,400,0.17,200
63921,34,1,31,1,33,2,1,400,0.1,200
67823,35,1,32,1,34,4,1,400,0.03,200
67833,36,1,32,1,34,4,1,400,0.0,200
4305,37,1,33,1,35,0,1,400,0.02,200
4305,37,1,34,1,36,6,1,400,0.01,200
7725,38,1,35,1,37,4,1,400,0.1,200
21968,39,1,36,1,38,2,1,400,0.12,200
65258,40,1,37,1,39,4,1,400,0.12,200
558,41,1,38,1,40,6,1,400,0.04,200
6536,42,1,39,1,41,1,1,400,0.12,200
15811,43,1,40,1,42,2,1,400,0.02,200
21888,44,1,41,1,43,4,1,400,0.13,200
33331,15,1,42,1,44,2,1,400,0.12,200
33331,15,1,43,1,45,2,1,400,0.15,200
33331,15,1,44,1,46,3,1,400,0.13,200
41283,45,1,45,1,47,2,1,400,0.1,200
41521,46,1,46,1,48,2,1,400,0.18,200
47001,47,1,47,1,49,3,1,400,0.25,200
47001,47,1,48,1,50,4,1,400,0.2,200
51806,48,1,24,1,51,2,1,400,0.18,200
53548,49,1,49,1,52,2,1,400,0.06,200
59506,50,1,50,1,53,6,1,400,0.01,200
61886,51,1,51,1,54,2,1,400,0.16,200
4135,52,1,52,1,55,3,1,400,0.07,200
4991,53,1,53,1,56,3,1,400,0.16,200
6393,54,1,54,1,57,4,1,400,0.09,200
6393,54,1,55,1,58,5,1,400,0.1,200
19948,55,1,56,1,59,4,1,400,0.07,200
23221,56,1,57,1,60,1,1,400,0.03,200
23295,57,1,58,1,61,5,1,400,0.0,200
31296,58,1,59,1,62,4,1,400,0.06,200
31296,58,1,60,1,37,5,1,400,0.05,200
